time,lasttime,lat,lng,speed,course,altitude,comment
2017-10-01 14:17:34,2017-10-01 14:17:34,30.62419,-96.33620,0,185,105.00,"KG5DII"
2017-10-01 14:19:04,2017-10-01 14:19:04,30.62421,-96.33625,0,185,97.00,"KG5DII"
2017-10-01 14:22:04,2017-10-01 14:25:05,30.62420,-96.33625,0,177,97.00,"KG5DII"
2017-10-01 14:26:35,2017-10-01 14:41:41,30.62421,-96.33624,0,177,95.00,"KG5DII"
2017-10-01 14:44:37,2017-10-01 14:44:37,30.62422,-96.33625,0,177,97.00,"KG5DII"
2017-10-01 14:46:10,2017-10-01 14:46:10,30.62426,-96.33628,0,321,95.00,"KG5DII"
2017-10-01 14:47:39,2017-10-01 14:49:08,30.62427,-96.33628,0,321,94.00,"KG5DII"
2017-10-01 14:50:41,2017-10-01 14:53:40,30.62430,-96.33628,0,321,95.00,"KG5DII"
2017-10-01 14:55:10,2017-10-01 15:04:20,30.62429,-96.33628,0,321,96.00,"KG5DII"
2017-10-01 15:05:42,2017-10-01 15:05:42,30.62428,-96.33627,0,321,96.00,"KG5DII"
2017-10-01 15:07:12,2017-10-01 15:07:12,30.62429,-96.33627,0,321,95.00,"KG5DII"
2017-10-01 15:08:45,2017-10-01 15:08:45,30.62428,-96.33627,0,321,95.00,"KG5DII"
2017-10-01 15:10:17,2017-10-01 15:13:14,30.62427,-96.33626,0,321,95.00,"KG5DII"
2017-10-01 15:14:42,2017-10-01 15:14:42,30.62559,-96.33797,35,303,388.00,"KG5DII"
2017-10-01 15:16:12,2017-10-01 15:16:12,30.62790,-96.33900,13,235,927.00,"KG5DII"
2017-10-01 15:17:42,2017-10-01 15:17:42,30.62849,-96.34122,31,220,1473.00,"KG5DII"
2017-10-01 15:19:12,2017-10-01 15:19:12,30.62920,-96.34263,20,357,2027.00,"KG5DII"
2017-10-01 15:20:43,2017-10-01 15:20:43,30.63102,-96.34527,20,202,2598.00,"KG5DII"
2017-10-01 15:22:13,2017-10-01 15:22:13,30.63301,-96.34769,2,323,3163.00,"KG5DII"
2017-10-01 15:23:43,2017-10-01 15:23:43,30.63532,-96.34947,22,50,3700.00,"KG5DII"
2017-10-01 15:25:13,2017-10-01 15:25:13,30.63614,-96.34842,35,173,4272.00,"KG5DII"
